"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"SGB"
"d__Bacteria"	"p__Planctomycetota"	"c__Phycisphaerae"	"o__Sedimentisphaerales"	"f__Anaerohalosphaeraceae"	"g__T3Sed10-213"	"s__T3Sed10-213 sp012729675"	"SGB63468"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA1402"	"g__UBA1402"	"s__UBA1402 sp012511135"	"SGB63564"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-433"	"s__CAG-433 sp000433675"	"SGB6422"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Schleiferiaceae"	"g__TMED14"	"s__"	"SGB64481"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Schleiferiaceae"	"g__TMED14"	"s__"	"SGB64482"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__HGM10818"	"s__HGM10818 sp905211265"	"SGB6468"
"d__Bacteria"	"p__Cyanobacteria"	"c__Vampirovibrionia"	"o__Gastranaerophilales"	"f__CAJFVJ01"	"g__Adamsella"	"s__Adamsella avium"	"SGB64987"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-1193"	"s__CAG-1193 sp900550145"	"SGB6510"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium sp910588715"	"SGB65123"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-605"	"s__CAG-605 sp900545005"	"SGB6517"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__RFN20"	"f__CAG-631"	"g__Caccosoma"	"s__Caccosoma faecigallinarum"	"SGB6564"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA932"	"g__Cryptobacteroides"	"s__"	"SGB65684"
