"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"SGB"
"d__Archaea"	"p__Thermoplasmatota"	"c__Thermoplasmata"	"o__Methanomassiliicoccales"	"f__Methanomethylophilaceae"	"g__UBA71"	"s__UBA71 sp002506425"	"SGB19955"
"d__Archaea"	"p__Methanobacteriota_A"	"c__Methanococci"	"o__Methanococcales"	"f__Methanococcaceae"	"g__Methanofervidicoccus"	"s__Methanofervidicoccus abyssi"	"SGB27569"
"d__Archaea"	"p__Methanobacteriota_B"	"c__Thermococci"	"o__Thermococcales"	"f__Thermococcaceae"	"g__Thermococcus"	"s__Thermococcus sp900198835"	"SGB27580"
"d__Archaea"	"p__Methanobacteriota_B"	"c__Thermococci"	"o__Thermococcales"	"f__Thermococcaceae"	"g__Thermococcus"	"s__Thermococcus zilligii"	"SGB27581"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloferacaceae"	"g__Halorubrum"	"s__Halorubrum aidingense"	"SGB286"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Natrialbaceae"	"g__Natrinema"	"s__Natrinema versiforme"	"SGB316"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Natrialbaceae"	"g__Saliphagus"	"s__Saliphagus sp003344565"	"SGB33475"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haladaptataceae"	"g__Halorussus"	"s__Halorussus litoreus"	"SGB33496"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloferacaceae"	"g__Haloparvum"	"s__Haloparvum sedimenti"	"SGB33527"
"d__Archaea"	"p__Methanobacteriota"	"c__Methanobacteria"	"o__Methanobacteriales"	"f__Methanobacteriaceae"	"g__Methanobrevibacter_A"	"s__Methanobrevibacter_A sp900314695"	"SGB39409"
"d__Archaea"	"p__Nanoarchaeota"	"c__Nanoarchaeia"	"o__Parvarchaeales"	"f__Parvarchaeaceae"	"g__Parvarchaeum"	"s__Parvarchaeum acidiphilum"	"SGB39464"
"d__Archaea"	"p__Thermoplasmatota"	"c__Poseidoniia"	"o__Poseidoniales"	"f__Thalassarchaeaceae"	"g__MGIIb-O1"	"s__MGIIb-O1 sp002497025"	"SGB39583"
"d__Archaea"	"p__Thermoplasmatota"	"c__Poseidoniia"	"o__Poseidoniales"	"f__Thalassarchaeaceae"	"g__Thalassarchaeum"	"s__Thalassarchaeum sp002698225"	"SGB39599"
"d__Archaea"	"p__Thermoplasmatota"	"c__Poseidoniia"	"o__Poseidoniales"	"f__Thalassarchaeaceae"	"g__MGIIb-O5"	"s__MGIIb-O5 sp002505775"	"SGB39616"
"d__Archaea"	"p__Thermoplasmatota"	"c__Poseidoniia"	"o__Poseidoniales"	"f__Poseidoniaceae"	"g__MGIIa-L2"	"s__MGIIa-L2 sp002499195"	"SGB39658"
"d__Archaea"	"p__Halobacteriota"	"c__Methanomicrobia"	"o__Methanomicrobiales"	"f__Methanoculleaceae"	"g__Methanoculleus"	"s__Methanoculleus chikugoensis"	"SGB45880"
"d__Archaea"	"p__Thermoproteota"	"c__Nitrososphaeria"	"o__Nitrososphaerales"	"f__Nitrosopumilaceae"	"g__Nitrosarchaeum"	"s__Nitrosarchaeum koreense"	"SGB554"
"d__Archaea"	"p__Altiarchaeota"	"c__Altiarchaeia"	"o__Altiarchaeales"	"f__Altiarchaeaceae"	"g__Altiarchaeum"	"s__Altiarchaeum hamiconexum"	"SGB629"
"d__Archaea"	"p__Thermoproteota"	"c__Nitrososphaeria"	"o__Nitrososphaerales"	"f__Nitrosopumilaceae"	"g__VYCS01"	"s__VYCS01 sp009840065"	"SGB63976"
"d__Archaea"	"p__Nanoarchaeota"	"c__Nanoarchaeia"	"o__Nanoarchaeales"	"f__Nanoarchaeaceae"	"g__Nanoarchaeum"	"s__Nanoarchaeum equitans"	"SGB645"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloferacaceae"	"g__Halalkalirubrum"	"s__Halalkalirubrum sp003551725"	"SGB69642"
"d__Archaea"	"p__Methanobacteriota"	"c__Methanobacteria"	"o__Methanobacteriales"	"f__Methanobacteriaceae"	"g__Methanobrevibacter_C"	"s__Methanobrevibacter_C arboriphilus_A"	"SGB701"
"d__Archaea"	"p__Aenigmatarchaeota"	"c__Aenigmatarchaeia"	"o__CG10238-14"	"f__CG10238-14"	"g__CG10238-14"	"s__CG10238-14 sp002789635"	"SGB71"
"d__Archaea"	"p__Thermoplasmatota"	"c__E2"	"o__DHVEG-1"	"f__DHVEG-1"	"g__CAIYYQ01"	"s__CAIYYQ01 sp903930505"	"SGB75142"
"d__Archaea"	"p__Halobacteriota"	"c__Methanosarcinia"	"o__Methanotrichales"	"f__Methanotrichaceae"	"g__"	"s__"	"SGB75276"
"d__Archaea"	"p__Halobacteriota"	"c__Methanosarcinia"	"o__Methanotrichales"	"f__Methanotrichaceae"	"g__Methanothrix_A"	"s__"	"SGB75281"
"d__Archaea"	"p__Halobacteriota"	"c__Methanomicrobia"	"o__Methanomicrobiales"	"f__Methanomicrobiaceae"	"g__Methanogenium"	"s__Methanogenium sp009914725"	"SGB75310"
"d__Archaea"	"p__Halobacteriota"	"c__Archaeoglobi"	"o__Archaeoglobales"	"f__Archaeoglobaceae"	"g__Geoglobus"	"s__Geoglobus ahangari"	"SGB776"
"d__Archaea"	"p__Thermoproteota"	"c__Thermoproteia"	"o__Thermoproteales"	"f__Thermoproteaceae"	"g__Pyrobaculum"	"s__Pyrobaculum arsenaticum"	"SGB817"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloferacaceae"	"g__Halorubrum"	"s__Halorubrum sp009806985"	"SGB86024"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloarculaceae"	"g__Natronomonas"	"s__Natronomonas sp009741925"	"SGB86048"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloarculaceae"	"g__Natronomonas"	"s__Natronomonas halophila"	"SGB86049"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloarculaceae"	"g__Salinibaculum"	"s__Salinibaculum litoreum"	"SGB86056"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Haloarculaceae"	"g__Halapricum"	"s__Halapricum sp009741825"	"SGB86077"
"d__Archaea"	"p__Halobacteriota"	"c__Halobacteria"	"o__Halobacteriales"	"f__Natrialbaceae"	"g__Natrinema"	"s__Natrinema sp013456555"	"SGB86084"
"d__Archaea"	"p__Methanobacteriota_B"	"c__Thermococci"	"o__Thermococcales"	"f__Thermococcaceae"	"g__Thermococcus_B"	"s__Thermococcus_B barophilus"	"SGB869"
"d__Archaea"	"p__Thermoproteota"	"c__Thermoproteia"	"o__Sulfolobales"	"f__Acidilobaceae"	"g__Aeropyrum"	"s__Aeropyrum camini"	"SGB915"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Providencia"	"s__Providencia rettgeri_D"	"SGB10006"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Pseudocitrobacter"	"s__Pseudocitrobacter sp000330845"	"SGB10110"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Izhakiella"	"s__Izhakiella australiensis"	"SGB10158"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Erwinia"	"s__Erwinia iniecta"	"SGB10200"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Hafnia"	"s__Hafnia paralvei"	"SGB10207"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Yersinia"	"s__Yersinia enterocolitica"	"SGB10220"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Rahnella"	"s__Rahnella sp001422575"	"SGB10243"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Chania"	"s__Chania multitudinisentens"	"SGB10263"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Acinetobacter"	"s__Acinetobacter courvalinii"	"SGB10356"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Acinetobacter"	"s__Acinetobacter equi"	"SGB10376"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Acinetobacter"	"s__Acinetobacter bohemicus"	"SGB10392"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Psychrobacter"	"s__Psychrobacter sp900168255"	"SGB10466"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Ruegeria_E"	"s__Ruegeria_E litorea"	"SGB10588"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Sulfitobacter"	"s__Sulfitobacter geojensis"	"SGB10640"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Sulfitobacter"	"s__Sulfitobacter brevis"	"SGB10652"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Ketogulonicigenium"	"s__Ketogulonicigenium vulgare"	"SGB10672"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Paracoccus"	"s__Paracoccus seriniphilus"	"SGB10678"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Haematobacter"	"s__Haematobacter massiliensis"	"SGB10686"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Paracoccus"	"s__Paracoccus sp002847305"	"SGB10705"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Paracoccus"	"s__Paracoccus isoporae"	"SGB10715"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Paracoccus"	"s__Paracoccus versutus"	"SGB10719"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Paracoccus"	"s__Paracoccus kondratievae"	"SGB10724"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Paracoccus"	"s__Paracoccus aminophilus"	"SGB10734"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Salipiger"	"s__Salipiger thiooxidans"	"SGB10806"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Palleronia"	"s__Palleronia marisminoris"	"SGB10813"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Limimaricola"	"s__Limimaricola cinnabarinus"	"SGB10820"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Limimaricola"	"s__Limimaricola pyoseonensis"	"SGB10821"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Celeribacter"	"s__Celeribacter neptunius"	"SGB10877"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	"f__Rhodobacteraceae"	"g__Amylibacter"	"s__Amylibacter lutimaris"	"SGB10882"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__TMED2"	"f__TMED2"	"g__TMED2"	"s__TMED2 sp002168225"	"SGB10897"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__TH1-2"	"g__Terricaulis"	"s__Terricaulis sp000974665"	"SGB10917"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methyloligellaceae"	"g__Methyloceanibacter"	"s__Methyloceanibacter marginalis"	"SGB10926"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Nitratireductor"	"s__Nitratireductor aquibiodomus"	"SGB10994"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Hoeflea"	"s__Hoeflea sp001011155"	"SGB11020"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Mesorhizobium"	"s__Mesorhizobium sp000824805"	"SGB11035"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Agrobacterium"	"s__Agrobacterium tumefaciens_C"	"SGB11079"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Agrobacterium"	"s__Agrobacterium salinitolerans"	"SGB11093"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Neorhizobium"	"s__Neorhizobium galegae"	"SGB11106"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Sinorhizobium"	"s__Sinorhizobium meliloti_A"	"SGB11190"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Sinorhizobium"	"s__Sinorhizobium sp001854885"	"SGB11193"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Sinorhizobium"	"s__Sinorhizobium fredii"	"SGB11198"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Xanthobacteraceae"	"g__Nitrobacter"	"s__Nitrobacter vulgaris"	"SGB11273"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Xanthobacteraceae"	"g__Bradyrhizobium"	"s__Bradyrhizobium sp000617845"	"SGB11306"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Xanthobacteraceae"	"g__Bradyrhizobium"	"s__Bradyrhizobium sp000938305"	"SGB11332"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Xanthobacteraceae"	"g__Bradyrhizobium"	"s__Bradyrhizobium macuxiense"	"SGB11340"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Beijerinckiaceae"	"g__Microvirga"	"s__Microvirga guangxiensis"	"SGB11367"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Beijerinckiaceae"	"g__Bosea"	"s__Bosea vaviloviae"	"SGB11418"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Polymorphobacter"	"s__Polymorphobacter sp001295935"	"SGB11470"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Puniceispirillales"	"f__Puniceispirillaceae"	"g__Puniceispirillum"	"s__Puniceispirillum marinum"	"SGB1149"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Sphingobium"	"s__Sphingobium faniae"	"SGB11595"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Sphingobium"	"s__Sphingobium sp000508185"	"SGB11612"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Sphingomonas"	"s__Sphingomonas koreensis"	"SGB11633"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Allosphingosinicella"	"s__Allosphingosinicella indica"	"SGB11702"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Acetobacterales"	"f__Acetobacteraceae"	"g__Acidomonas"	"s__Acidomonas methanolica"	"SGB1173"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__Brevundimonas"	"s__Brevundimonas sp001424025"	"SGB11759"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__Caulobacter"	"s__Caulobacter sp002742635"	"SGB11768"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__Rhodospira"	"s__Rhodospira trueperi"	"SGB11811"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Halomonadaceae"	"g__Halomonas"	"s__Halomonas hamiltonii"	"SGB11823"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Acetobacterales"	"f__Acetobacteraceae"	"g__Kozakia"	"s__Kozakia baliensis"	"SGB1183"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Halomonadaceae"	"g__Halomonas"	"s__Halomonas sp002813215"	"SGB11846"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Halomonadaceae"	"g__Aidingimonas"	"s__Aidingimonas halophila"	"SGB11890"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_E"	"s__Pseudomonas_E syringae_Q"	"SGB12096"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_E"	"s__Pseudomonas_E sp900005815"	"SGB12130"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_E"	"s__Pseudomonas_E thivervalensis"	"SGB12177"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_E"	"s__Pseudomonas_E sp001297125"	"SGB12247"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_E"	"s__Pseudomonas_E sp900109995"	"SGB12252"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_E"	"s__Pseudomonas_E japonica"	"SGB12265"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_F"	"s__Pseudomonas_F resinovorans_A"	"SGB12317"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	"s__Pseudomonas nitroreducens"	"SGB12321"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	"s__Pseudomonas panipatensis"	"SGB12330"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Xanthomonadaceae"	"g__Xanthomonas_A"	"s__Xanthomonas_A sontii"	"SGB12502_group"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Rhodanobacteraceae"	"g__Dyella"	"s__Dyella jiangningensis_B"	"SGB12563"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Rhodocyclaceae"	"g__Thauera_A"	"s__Thauera_A hydrothermalis"	"SGB12606"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Acidovorax"	"s__Acidovorax delafieldii_B"	"SGB12688"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Acidovorax"	"s__Acidovorax sp001411535"	"SGB12696"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Acidovorax_A"	"s__Acidovorax_A wautersii"	"SGB12706"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Alicycliphilus"	"s__Alicycliphilus denitrificans"	"SGB12717"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Methylibium"	"s__Methylibium petroleiphilum"	"SGB12814"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Duganella"	"s__Duganella sp001423125"	"SGB12866"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Pseudoduganella"	"s__Pseudoduganella sp001425265"	"SGB12874"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Pandoraea"	"s__Pandoraea communis"	"SGB12907"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Cupriavidus"	"s__Cupriavidus pauculus_B"	"SGB12929"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Cupriavidus"	"s__Cupriavidus pauculus"	"SGB12933"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Caballeronia"	"s__Caballeronia concitans"	"SGB12960"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Caballeronia"	"s__Caballeronia grimmiae"	"SGB12961"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Burkholderia"	"s__Burkholderia stagnalis"	"SGB12991"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Chromobacteriaceae"	"g__Chromobacterium"	"s__Chromobacterium haemolyticum"	"SGB13075"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Chromobacteriaceae"	"g__Chromobacterium"	"s__Chromobacterium sphagni"	"SGB13080"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Chromobacteriaceae"	"g__Chromobacterium"	"s__Chromobacterium subtsugae"	"SGB13081"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Bordetella"	"s__Bordetella trematum"	"SGB13120"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Bordetella"	"s__Bordetella pseudohinzii"	"SGB13124"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Achromobacter"	"s__Achromobacter pulmonis_A"	"SGB13139"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Nitrincolaceae"	"g__Marinobacterium"	"s__Marinobacterium litorale"	"SGB13311"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Nitrosomonadaceae"	"g__Nitrosospira"	"s__Nitrosospira lacus"	"SGB13342"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Nitrosomonadaceae"	"g__Nitrosospira"	"s__Nitrosospira briensis_A"	"SGB13347"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__PCC-7407"	"f__PCC-7407"	"g__PCC-7407"	"s__PCC-7407 sp000317045"	"SGB13386"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__Cyanobacteriales"	"f__Coleofasciculaceae"	"g__Moorea"	"s__Moorea producens"	"SGB13407"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__Cyanobacteriales"	"f__Microcoleaceae"	"g__Lyngbya"	"s__Lyngbya sp000169095"	"SGB13418"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__Cyanobacteriales"	"f__Microcoleaceae"	"g__Planktothrix"	"s__Planktothrix sp014697575"	"SGB13425"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__Cyanobacteriales"	"f__Nostocaceae"	"g__Calothrix"	"s__Calothrix sp000734895"	"SGB13446"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Paludibacteraceae"	"g__Paludibacter"	"s__Paludibacter propionicigenes"	"SGB1346"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__Cyanobacteriales"	"f__Nostocaceae"	"g__Fortiea"	"s__Fortiea sp000316575"	"SGB13484"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__HTCC5015"	"f__HTCC5015"	"g__HTCC5015"	"s__HTCC5015 sp000155715"	"SGB13538"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Polynucleobacter"	"s__Polynucleobacter sp001889925"	"SGB13548"
